folder_name,files,hours,min_duration_sec,median_duration_sec,max_duration_sec
Curve-billed Tinamou_sound,8,0.028785130306752334,4.375958333333333,7.008798185941043,50.13378684807256
Darwins Nothura_sound,20,0.30808937417328036,11.976734693877551,44.989943594104304,173.799
Dusky Megapode_sound,30,0.378202695893172,4.5,27.10015873015873,173.5397732426304
Dusky-legged Guan_sound,30,0.3969295815617913,7.692312925170068,39.94625,171.32399092970522
Dwarf Cassowary_sound,2,0.006866877873834719,9.321145833333333,12.360380172902495,15.399614512471656
Dwarf Tinamou_sound,30,0.2763573066263542,4.394081632653061,25.192312925170068,188.62138321995465
East Brazilian Chachalaca_sound,22,0.1539225387377173,8.413922902494331,23.599750566893423,94.75131519274376
Elegant Crested Tinamou_sound,14,0.04518342151675485,3.0939455782312923,9.792006802721088,26.33891156462585
Emu_sound,17,0.10404117831160244,3.5434240362811793,18.812625,47.59610416666667
Great Spotted Kiwi_sound,7,0.06311795808138071,14.541201814058956,25.405736961451247,68.35954648526076
Great Tinamou_sound,30,0.6790716854253276,9.85907029478458,36.49467120181406,269.564149659864
Greater Rhea_sound,23,0.11836637188208617,1.4216780045351474,7.18655328798186,86.566
Grey Tinamou_sound,30,0.5952403811767761,5.012698412698413,21.532664399092972,247.29598639455781
Grey-headed Chachalaca_sound,30,0.5833307906982236,5.191791383219955,38.98576410147392,378.6430158730159
Grey-legged Tinamou_sound,12,0.29469735126921137,39.946666666666665,58.45552706916099,225.48215419501133
Highland Tinamou_sound,30,0.566033314121945,15.490612244897958,72.8889455782313,271.4167346938776
Hooded Tinamou_sound,15,0.14419853615520284,12.180453514739229,28.394666666666666,115.86879818594105
Huayco Tinamou_sound,10,0.27549823633156967,6.75,55.32592970521542,247.15471655328798
Lesser Nothura_sound,10,0.06025215419501134,6.261632653061224,13.564251700680273,45.477165532879816
Lesser Rhea_sound,4,0.018162292099710254,5.357083333333334,17.60749036281179,24.8121875
Little Chachalaca_sound,30,0.3265302016408415,8.179909297052154,25.477482993197277,210.236375
Little Spotted Kiwi_sound,6,0.0423042328042328,5.4759863945578235,18.928390022675735,51.74324263038549
Little Tinamou_sound,30,0.28811962081128745,13.583673469387755,32.73859410430839,136.7969387755102
Maleo_sound,7,0.023747905092592593,12.213208333333334,12.213208333333334,12.213208333333334
Malleefowl_sound,8,0.05730719328703704,12.213208333333334,24.831395833333332,58.0
Marail Guan_sound,17,0.08489898589065255,5.12687074829932,10.834875283446712,45.61578231292517
Melanesian Megapode_sound,12,0.14449263668430334,3.3289342403628117,41.68925170068027,100.61816326530612
Micronesian Megapode_sound,7,0.07062436381960191,4.225691609977324,29.498866213151928,99.99927437641723
Moluccan Megapode_sound,6,0.020355347222222223,12.213208333333334,12.213208333333334,12.213208333333334
New Guinea Scrubfowl_sound,6,0.014112358276643991,8.467414965986395,8.467414965986395,8.467414965986395
Nicobar Megapode_sound,2,0.03584915595867977,64.52848072562358,64.52848072562358,64.52848072562358
North Island Brown Kiwi_sound,19,0.11993282411344168,16.503604166666666,16.503604166666666,35.4569375
Northern Cassowary_sound,6,0.03101811555177627,10.311609977324263,15.957453585600906,30.0
Okarito Kiwi_sound,5,0.03197971151423532,5.4759863945578235,27.412743764172337,27.412743764172337
Orange-footed Scrubfowl_sound,30,1.0952954633960066,7.3395918367346935,69.12270833333334,510.32125
Ornate Tinamou_sound,12,0.09838337167737465,4.898321995464853,25.321757369614513,59.773990929705214
Pale-browed Tinamou_sound,30,0.23710331317712266,1.397437641723356,18.715963718820863,102.71514739229025
Patagonian Tinamou_sound,1,0.008649218946837995,31.13718820861678,31.13718820861678,31.13718820861678
Philippine Megapode_sound,19,0.6062205676020408,20.988291666666665,64.52848072562358,267.3041723356009
Plain Chachalaca_sound,30,0.7813567402840764,10.977520833333333,46.485125,505.29322916666666
Puna Tinamou_sound,12,0.15513994876307002,13.87875283446712,26.031009070294786,109.5199375
Quebracho Crested Tinamou_sound,10,0.056585380448475685,3.1248299319727892,22.73201814058957,29.500408163265305
Red-billed Brushturkey_sound,6,0.016685638699924416,10.011383219954649,10.011383219954649,10.011383219954649
Red-faced Guan_sound,24,0.4157770723104056,10.610272108843537,44.50281179138322,165.45789115646258
Red-legged Tinamou_sound,30,0.31574963466868233,4.395600907029478,35.72081632653061,72.388231292517
Red-throated Piping Guan_sound,15,0.2653150395250693,7.309410430839002,61.16938775510204,139.85766666666666
Red-winged Tinamou_sound,30,0.4039465379739859,3.986575963718821,43.68115646258504,299.567625
Rufous-bellied Chachalaca_sound,30,1.154059752653376,8.292675736961451,78.09746031746032,658.8918125
Rufous-headed Chachalaca_sound,30,0.2887639433736457,7.723718820861678,22.74448979591837,119.53106575963719
Rufous-vented Chachalaca_sound,30,0.4618041332829428,3.355419501133787,26.225816326530612,433.7141950113379
Rusty Tinamou_sound,13,0.08581508156966491,7.50501133786848,24.301768707482992,74.01360544217687
Rusty-margined Guan_sound,30,0.3582832772738724,3.4088662131519274,39.3259977324263,292.3681179138322
Scaled Chachalaca_sound,17,0.08638834419879061,18.120875,18.38843537414966,18.38843537414966
Slaty-breasted Tinamou_sound,29,0.36125857583774246,3.881519274376417,17.95501133786848,451.4675963718821
Small-billed Tinamou_sound,30,0.2919690180146132,12.459931972789116,37.680997732426306,69.583
Solitary Tinamou_sound,30,0.29237022797776513,2.089795918367347,30.998537414965988,124.07303854875283
Somali Ostrich_sound,1,0.003267418981481482,11.762708333333334,11.762708333333334,11.762708333333334
Southern Brown Kiwi_sound,3,0.008714321302595113,7.254852607709751,11.990204081632653,12.1265
Southern Cassowary_sound,20,0.2852744977481734,2.8200226757369613,27.474104308390025,149.64208616780044
Speckled Chachalaca_sound,30,0.5757548789052659,6.68675,47.22533333333333,150.90759637188208
Spixs Guan_sound,30,0.3387696163233812,10.9699375,31.0827664399093,169.26065759637189
Spotted Nothura_sound,30,0.3720225747984378,4.14219954648526,24.058061224489798,188.62138321995465
Sula Megapode_sound,5,0.0536013816452507,7.4510657596371885,27.10015873015873,91.13683333333333
Taczanowskis Tinamou_sound,7,0.046529069664903,1.3121666666666667,11.766598639455783,60.26673469387755
Tanimbar Megapode_sound,1,0.0075278218694885355,27.10015873015873,27.10015873015873,27.10015873015873
Tataupa Tinamou_sound,30,0.2946567426067649,4.362625,20.02299319727891,131.34496598639456
Tawny-breasted Tinamou_sound,30,0.5773358480568153,6.509319727891157,87.94607709750566,111.67201814058957
Tepui Tinamou_sound,2,0.07599829931972789,136.7969387755102,136.7969387755102,136.7969387755102
Thicket Tinamou_sound,30,0.9078842234347444,4.26,32.045482355442175,394.3535827664399
Tongan Megapode_sound,14,0.036147215765936,6.183990929705216,8.34407029478458,12.213208333333334
Trinidad Piping Guan_sound,1,0.015266717057193247,54.96018140589569,54.96018140589569,54.96018140589569
Undulated Tinamou_sound,30,0.9033789241622574,20.844126984126984,113.16086167800454,189.9821315192744
Vanuatu Megapode_sound,3,0.006940010078105316,6.2686621315192745,6.2686621315192745,12.44671201814059
Variegated Tinamou_sound,30,0.20932276029856386,6.350226757369614,13.86077097505669,224.40533333333335
Wattled Brushturkey_sound,3,0.008342819349962206,10.011383219954649,10.011383219954649,10.011383219954649
West Mexican Chachalaca_sound,30,0.5895022843836609,6.601587301587301,63.156995464852606,156.30947916666668
White-bellied Chachalaca_sound,19,0.23301300957420007,7.417619047619048,12.024444444444445,99.72755102040816
White-bellied Nothura_sound,30,0.261566176579428,5.141166666666667,32.13034013605442,54.22091666666667
White-browed Guan_sound,3,0.011945416666666667,4.197791666666666,4.197791666666666,34.60791666666667
White-crested Guan_sound,12,0.1142484630889393,17.409659863945578,26.362460317460318,64.4821768707483
White-throated Tinamou_sound,30,0.15052977044753085,6.70721875,11.361156462585033,64.21736961451248
White-winged Guan_sound,20,0.256237785021416,12.014833333333334,31.787853741496598,133.7085260770975
Yellow-legged Tinamou_sound,30,0.5330038182634165,4.395600907029478,43.99725,137.82027210884354
